Id,Label,Hue_Name,Temperature,Start_year,End_year
247,Wild Blue,"blue, cobalt blue",Cold,1887,1890
248,Carolina Blue,azure,Cold,1887,1890
249,Crystal,"turquoise blue, cyan (web color)",Cold,1887,1890
250,Sunglow,golden yellow,Warm,1887,1890
251,Maxmum Blue,cerulean blue,Cold,1887,1890
252,Macaroni Cheese,orange,Warm,1887,1887
253,Persian Red,red,Warm,1887,1890
254,Opal,"turquoise green, bluish green",Cold,1887,1890
255,Eton Blue,cobalt green,Cold,1887,1890
256,Lavender Gray,blue (web color)=ultramarine,Cold,1887,1890
257,Thistle,magenta (web color),Cold,1887,1887
258,Middle Blue,"turquoise green, bluish green",Cold,1887,1889
259,Lemon Curry,golden yellow,Warm,1887,1890
260,Harvest Gold,golden yellow,Warm,1888,1888
261,Oxblood,red,Warm,1888,1888
262,Pink,carmine,Warm,1888,1890
263,Celtic Blue,azure,Cold,1888,1890
264,Celadon,green,Cold,1888,1890
265,Pear,yellow (web color)=lemon yellow,Warm,1888,1890
266,Dandelion,yellow (web color)=lemon yellow,Warm,1888,1890
267,Medium Purple,hyacinth,Cold,1888,1890
268,Scarlet,vermilion,Warm,1888,1888
269,Mantis,leaf green,Cold,1888,1890
270,Azure,"turquoise blue, cyan (web color)",Cold,1888,1890
271,Ginger,orange,Warm,1888,1889
272,Granny Smith,green,Cold,1888,1890
273,Baby Blue,cerulean blue,Cold,1888,1888
274,Pistachio,"yellowish green, chartreuse",Cold,1888,1889
275,Burgundy,carmine,Warm,1888,1888
276,Medium Slate,hyacinth,Cold,1888,1888
277,Aquamarine,"turquoise green, bluish green",Cold,1888,1889
278,Marigold,golden yellow,Warm,1888,1889
279,Upsdell Red,carmine,Warm,1888,1888
280,Wintergreen Dream,"turquoise green, bluish green",Cold,1888,1888
281,Inchworm,"yellowish green, chartreuse",Cold,1888,1888
282,Burnt Orange,orange,Warm,1888,1889
283,Prussian Blue,azure,Cold,1888,1888
284,Lincoln Green,leaf green,Cold,1888,1890
285,Dark Lavender,violet,Cold,1888,1890
286,Tart Orange,red,Warm,1888,1888
287,Gold,golden yellow,Warm,1889,1889
288,Sinopia,vermilion,Warm,1889,1889
289,Bleu France,azure,Cold,1889,1890
290,Orange Soda,vermilion,Warm,1889,1889
291,Viridian,"turquoise green, bluish green",Cold,1889,1889
292,Cerulean Blue,"blue, cobalt blue",Cold,1889,1890
293,Dark Spring,emerald green,Cold,1889,1889
294,Ocean Blue,blue (web color)=ultramarine,Cold,1889,1890
295,Sea Green,emerald green,Cold,1889,1889
296,Kelly Green,leaf green,Cold,1889,1889
297,French Lilac,purple,Cold,1889,1889
298,Light Pink,carmine,Warm,1889,1889
299,Lemon Yellow,yellow (web color)=lemon yellow,Warm,1889,1889
